artist,chart_date,year,quarter,chart_name,rank,title,chart_artist,peak_position,weeks_on_chart,grammy_years,month
Christina Aguilera,1999-07-01,1999,3.0,hot-100,61,Genie In A Bottle,Christina Aguilera,61.0,1.0,[2000],
Christina Aguilera,1999-10-01,1999,4.0,hot-100,6,Genie In A Bottle,Christina Aguilera,1.0,14.0,[2000],
Christina Aguilera,2000-01-01,2000,1.0,hot-100,11,What A Girl Wants,Christina Aguilera,11.0,6.0,[2000],
Christina Aguilera,2000-01-01,2000,1.0,hot-100,18,The Christmas Song (Chestnuts Roasting On An Open Fire),Christina Aguilera,18.0,3.0,[2000],
Christina Aguilera,2000-04-01,2000,2.0,hot-100,18,What A Girl Wants,Christina Aguilera,1.0,19.0,[2000],
Christina Aguilera,2000-07-01,2000,3.0,hot-100,3,I Turn To You,Christina Aguilera,3.0,12.0,[2000],
Christina Aguilera,2000-10-01,2000,4.0,hot-100,11,Come On Over Baby (All I Want Is You),Christina Aguilera,9.0,10.0,[2000],
Christina Aguilera,2001-04-01,2001,2.0,hot-100,16,Nobody Wants To Be Lonely,Ricky Martin Duet With Christina Aguilera,13.0,11.0,[2000],
Christina Aguilera,2001-07-01,2001,3.0,hot-100,2,Lady Marmalade,"Christina Aguilera, Lil' Kim, Mya & P!nk",1.0,13.0,[2000],
Christina Aguilera,2002-10-01,2002,4.0,hot-100,48,Dirrty,Christina Aguilera Featuring Redman,48.0,3.0,[2000],
Christina Aguilera,2003-01-01,2003,1.0,hot-100,6,Beautiful,Christina Aguilera,6.0,7.0,[2000],
Christina Aguilera,2003-01-01,2003,1.0,hot-100,74,Dirrty,Christina Aguilera Featuring Redman,48.0,16.0,[2000],
Christina Aguilera,2003-04-01,2003,2.0,hot-100,16,Beautiful,Christina Aguilera,2.0,20.0,[2000],
Christina Aguilera,2003-07-01,2003,3.0,hot-100,35,Fighter,Christina Aguilera,20.0,13.0,[2000],
Christina Aguilera,2003-10-01,2003,4.0,hot-100,14,Can't Hold Us Down,Christina Aguilera Featuring Lil' Kim,12.0,10.0,[2000],
Christina Aguilera,2004-01-01,2004,1.0,hot-100,36,The Voice Within,Christina Aguilera,36.0,6.0,[2000],
Christina Aguilera,2004-10-01,2004,4.0,hot-100,60,Tilt Ya Head Back,Nelly & Christina Aguilera,60.0,2.0,[2000],
Christina Aguilera,2004-10-01,2004,4.0,hot-100,80,Car Wash,Christina Aguilera Featuring Missy Elliott,63.0,4.0,[2000],
Christina Aguilera,2006-07-01,2006,3.0,hot-100,13,Ain't No Other Man,Christina Aguilera,13.0,2.0,[2000],
Christina Aguilera,2006-10-01,2006,4.0,hot-100,28,Ain't No Other Man,Christina Aguilera,6.0,16.0,[2000],
Christina Aguilera,2007-01-01,2007,1.0,hot-100,25,Hurt,Christina Aguilera,19.0,13.0,[2000],
Christina Aguilera,2007-01-01,2007,1.0,hot-100,51,Tell Me,Diddy Featuring Christina Aguilera,47.0,10.0,[2000],
Christina Aguilera,2007-04-01,2007,2.0,hot-100,27,Candyman,Christina Aguilera,25.0,8.0,[2000],
Christina Aguilera,2009-01-01,2009,1.0,hot-100,66,Keeps Gettin' Better,Christina Aguilera,7.0,12.0,[2000],
Christina Aguilera,1999-10-01,1999,4.0,billboard-200,3,Christina Aguilera,Christina Aguilera,1.0,4.0,[2000],
Christina Aguilera,2000-01-01,2000,1.0,billboard-200,4,Christina Aguilera,Christina Aguilera,1.0,17.0,[2000],
Christina Aguilera,2000-04-01,2000,2.0,billboard-200,10,Christina Aguilera,Christina Aguilera,1.0,30.0,[2000],
Christina Aguilera,2000-07-01,2000,3.0,billboard-200,32,Christina Aguilera,Christina Aguilera,1.0,43.0,[2000],
Christina Aguilera,2000-10-01,2000,4.0,billboard-200,25,Christina Aguilera,Christina Aguilera,1.0,57.0,[2000],
Christina Aguilera,2000-10-01,2000,4.0,billboard-200,42,Mi Reflejo,Christina Aguilera,27.0,2.0,[2000],
Christina Aguilera,2001-01-01,2001,1.0,billboard-200,29,Christina Aguilera,Christina Aguilera,1.0,70.0,[2000],
Christina Aguilera,2001-01-01,2001,1.0,billboard-200,47,My Kind Of Christmas,Christina Aguilera,28.0,9.0,[2000],
Christina Aguilera,2001-01-01,2001,1.0,billboard-200,139,Mi Reflejo,Christina Aguilera,27.0,15.0,[2000],
Christina Aguilera,2001-04-01,2001,2.0,billboard-200,140,Christina Aguilera,Christina Aguilera,1.0,83.0,[2000],
Christina Aguilera,2001-07-01,2001,3.0,billboard-200,189,Christina Aguilera,Christina Aguilera,1.0,94.0,[2000],
Christina Aguilera,2003-01-01,2003,1.0,billboard-200,10,Stripped,Christina Aguilera,2.0,8.0,[2000],
Christina Aguilera,2003-04-01,2003,2.0,billboard-200,29,Stripped,Christina Aguilera,2.0,21.0,[2000],
Christina Aguilera,2003-07-01,2003,3.0,billboard-200,35,Stripped,Christina Aguilera,2.0,34.0,[2000],
Christina Aguilera,2003-10-01,2003,4.0,billboard-200,42,Stripped,Christina Aguilera,2.0,47.0,[2000],
Christina Aguilera,2004-01-01,2004,1.0,billboard-200,63,Stripped,Christina Aguilera,2.0,60.0,[2000],
Christina Aguilera,2004-04-01,2004,2.0,billboard-200,104,Stripped,Christina Aguilera,2.0,73.0,[2000],
Christina Aguilera,2006-10-01,2006,4.0,billboard-200,20,Back To Basics,Christina Aguilera,1.0,6.0,[2000],
Christina Aguilera,2007-01-01,2007,1.0,billboard-200,35,Back To Basics,Christina Aguilera,1.0,19.0,[2000],
Christina Aguilera,2007-04-01,2007,2.0,billboard-200,49,Back To Basics,Christina Aguilera,1.0,32.0,[2000],
Christina Aguilera,2007-07-01,2007,3.0,billboard-200,190,Back To Basics,Christina Aguilera,1.0,45.0,[2000],
Christina Aguilera,2009-01-01,2009,1.0,billboard-200,81,Keeps Gettin' Better: A Decade Of Hits,Christina Aguilera,9.0,6.0,[2000],
Christina Aguilera,2010-07-01,2010,3.0,billboard-200,9,Bionic,Christina Aguilera,3.0,2.0,[2000],
Dua Lipa,2017-04-01,2017,2.0,hot-100,100,Scared To Be Lonely,Martin Garrix & Dua Lipa,88.0,3.0,[2019],
Dua Lipa,2017-10-01,2017,4.0,hot-100,53,New Rules,Dua Lipa,53.0,8.0,[2019],
Dua Lipa,2018-01-01,2018,1.0,hot-100,13,New Rules,Dua Lipa,13.0,21.0,[2019],
Dua Lipa,2018-04-01,2018,2.0,hot-100,20,New Rules,Dua Lipa,6.0,35.0,[2019],
Dua Lipa,2018-04-01,2018,2.0,hot-100,54,IDGAF,Dua Lipa,54.0,11.0,[2019],
Dua Lipa,2018-07-01,2018,3.0,hot-100,36,One Kiss,Calvin Harris & Dua Lipa,30.0,12.0,[2019],
Dua Lipa,2018-07-01,2018,3.0,hot-100,40,New Rules,Dua Lipa,6.0,48.0,[2019],
Dua Lipa,2020-01-01,2020,1.0,hot-100,52,Don't Start Now,Dua Lipa,30.0,8.0,[2019],
Dua Lipa,2020-04-01,2020,2.0,hot-100,3,Don't Start Now,Dua Lipa,2.0,21.0,[2019],
Dua Lipa,2020-07-01,2020,3.0,hot-100,14,Don't Start Now,Dua Lipa,2.0,34.0,[2019],
Dua Lipa,2020-07-01,2020,3.0,hot-100,23,Break My Heart,Dua Lipa,21.0,13.0,[2019],
Dua Lipa,2020-10-01,2020,4.0,hot-100,25,Break My Heart,Dua Lipa,13.0,26.0,[2019],
Dua Lipa,2020-10-01,2020,4.0,hot-100,32,Don't Start Now,Dua Lipa,2.0,47.0,[2019],
Dua Lipa,2020-10-01,2020,4.0,hot-100,71,Un Dia (One Day),"J Balvin, Dua Lipa, Bad Bunny & Tainy",63.0,9.0,[2019],
Dua Lipa,2021-01-01,2021,1.0,hot-100,27,Levitating,Dua Lipa,20.0,12.0,[2019],
Dua Lipa,2021-01-01,2021,1.0,hot-100,81,Prisoner,Miley Cyrus Featuring Dua Lipa,54.0,5.0,[2019],
Dua Lipa,2021-04-01,2021,2.0,hot-100,7,Levitating,Dua Lipa,5.0,25.0,[2019],
Dua Lipa,2021-04-01,2021,2.0,hot-100,51,We're Good,Dua Lipa,49.0,6.0,[2019],
Dua Lipa,2021-07-01,2021,3.0,hot-100,3,Levitating,Dua Lipa,2.0,38.0,[2019],
Dua Lipa,2021-07-01,2021,3.0,hot-100,87,We're Good,Dua Lipa,31.0,18.0,[2019],
Dua Lipa,2021-10-01,2021,4.0,hot-100,11,Levitating,Dua Lipa,2.0,51.0,[2019],
Dua Lipa,2021-10-01,2021,4.0,hot-100,51,Love Again,Dua Lipa,51.0,10.0,[2019],
Dua Lipa,2021-10-01,2021,4.0,hot-100,74,Cold Heart (PNAU Remix),Elton John & Dua Lipa,74.0,3.0,[2019],
Dua Lipa,2022-01-01,2022,1.0,hot-100,29,Cold Heart (PNAU Remix),Elton John & Dua Lipa,11.0,16.0,[2019],
Dua Lipa,2022-04-01,2022,2.0,hot-100,14,Cold Heart (PNAU Remix),Elton John & Dua Lipa,7.0,29.0,[2019],
Dua Lipa,2022-04-01,2022,2.0,hot-100,16,Levitating,Dua Lipa,2.0,72.0,[2019],
Dua Lipa,2022-04-01,2022,2.0,hot-100,25,Sweetest Pie,Megan Thee Stallion & Dua Lipa,15.0,2.0,[2019],
Dua Lipa,2022-07-01,2022,3.0,hot-100,35,Cold Heart (PNAU Remix),Elton John & Dua Lipa,7.0,42.0,[2019],
Dua Lipa,2022-07-01,2022,3.0,hot-100,44,Sweetest Pie,Megan Thee Stallion & Dua Lipa,15.0,15.0,[2019],
Dua Lipa,2023-07-01,2023,3.0,hot-100,34,Dance The Night,Dua Lipa,32.0,4.0,[2019],
Dua Lipa,2023-10-01,2023,4.0,hot-100,10,Dance The Night,Dua Lipa,6.0,18.0,[2019],
Dua Lipa,2024-01-01,2024,1.0,hot-100,59,Houdini,Dua Lipa,11.0,7.0,[2019],
Dua Lipa,2024-04-01,2024,2.0,hot-100,42,Houdini,Dua Lipa,11.0,20.0,[2019],
Dua Lipa,2024-04-01,2024,2.0,hot-100,71,Training Season,Dua Lipa,27.0,6.0,[2019],
Dua Lipa,2024-07-01,2024,3.0,hot-100,59,Illusion,Dua Lipa,43.0,11.0,[2019],
Dua Lipa,2017-10-01,2017,4.0,billboard-200,67,Dua Lipa,Dua Lipa,67.0,12.0,[2019],
Dua Lipa,2018-01-01,2018,1.0,billboard-200,112,Dua Lipa,Dua Lipa,57.0,25.0,[2019],
Dua Lipa,2018-04-01,2018,2.0,billboard-200,29,Dua Lipa,Dua Lipa,27.0,39.0,[2019],
Dua Lipa,2018-07-01,2018,3.0,billboard-200,69,Dua Lipa,Dua Lipa,27.0,52.0,[2019],
Dua Lipa,2018-10-01,2018,4.0,billboard-200,130,Dua Lipa,Dua Lipa,27.0,65.0,[2019],
Dua Lipa,2019-01-01,2019,1.0,billboard-200,187,Dua Lipa,Dua Lipa,27.0,78.0,[2019],
Dua Lipa,2019-04-01,2019,2.0,billboard-200,161,Dua Lipa,Dua Lipa,27.0,91.0,[2019],
Dua Lipa,2020-07-01,2020,3.0,billboard-200,31,Future Nostalgia,Dua Lipa,4.0,13.0,[2019],
Dua Lipa,2020-10-01,2020,4.0,billboard-200,49,Future Nostalgia,Dua Lipa,4.0,25.0,[2019],
Dua Lipa,2021-01-01,2021,1.0,billboard-200,52,Future Nostalgia,Dua Lipa,4.0,38.0,[2019],
Dua Lipa,2021-04-01,2021,2.0,billboard-200,5,Future Nostalgia,Dua Lipa,3.0,51.0,[2019],
Dua Lipa,2021-07-01,2021,3.0,billboard-200,7,Future Nostalgia,Dua Lipa,3.0,64.0,[2019],
Dua Lipa,2021-10-01,2021,4.0,billboard-200,17,Future Nostalgia,Dua Lipa,3.0,77.0,[2019],
Dua Lipa,2022-01-01,2022,1.0,billboard-200,67,Future Nostalgia,Dua Lipa,3.0,90.0,[2019],
Dua Lipa,2022-04-01,2022,2.0,billboard-200,25,Future Nostalgia,Dua Lipa,3.0,103.0,[2019],
Dua Lipa,2022-07-01,2022,3.0,billboard-200,36,Future Nostalgia,Dua Lipa,3.0,116.0,[2019],
Dua Lipa,2022-10-01,2022,4.0,billboard-200,72,Future Nostalgia,Dua Lipa,3.0,129.0,[2019],
Dua Lipa,2023-01-01,2023,1.0,billboard-200,120,Future Nostalgia,Dua Lipa,3.0,143.0,[2019],
Dua Lipa,2023-04-01,2023,2.0,billboard-200,71,Future Nostalgia,Dua Lipa,3.0,155.0,[2019],
Dua Lipa,2023-07-01,2023,3.0,billboard-200,79,Future Nostalgia,Dua Lipa,3.0,168.0,[2019],
Dua Lipa,2023-10-01,2023,4.0,billboard-200,104,Future Nostalgia,Dua Lipa,3.0,182.0,[2019],
Dua Lipa,2024-04-01,2024,2.0,billboard-200,138,Future Nostalgia,Dua Lipa,3.0,206.0,[2019],
Dua Lipa,2024-07-01,2024,3.0,billboard-200,99,Radical Optimism,Dua Lipa,2.0,8.0,[2019],
Dua Lipa,2024-07-01,2024,3.0,billboard-200,120,Future Nostalgia,Dua Lipa,3.0,219.0,[2019],
Dua Lipa,2024-10-01,2024,4.0,billboard-200,151,Future Nostalgia,Dua Lipa,3.0,232.0,[2019],
Dua Lipa,2025-04-01,2025,2.0,billboard-200,175,Future Nostalgia,Dua Lipa,3.0,252.0,[2019],
Dua Lipa,2025-07-01,2025,3.0,billboard-200,178,Future Nostalgia,Dua Lipa,3.0,261.0,[2019],
Paula Cole,1997-07-01,1997,3.0,hot-100,21,Where Have All The Cowboys Gone?,Paula Cole,8.0,13.0,[1998],
Paula Cole,1998-01-01,1998,1.0,hot-100,17,I Don't Want To Wait,Paula Cole,12.0,10.0,[1998],
Paula Cole,1998-04-01,1998,2.0,hot-100,28,I Don't Want To Wait,Paula Cole,11.0,23.0,[1998],
Paula Cole,1998-07-01,1998,3.0,hot-100,38,I Don't Want To Wait,Paula Cole,11.0,36.0,[1998],
Paula Cole,1998-10-01,1998,4.0,hot-100,41,I Don't Want To Wait,Paula Cole,11.0,49.0,[1998],
Paula Cole,1997-04-01,1997,2.0,billboard-200,65,This Fire,Paula Cole,65.0,7.0,[1998],
Paula Cole,1997-07-01,1997,3.0,billboard-200,88,This Fire,Paula Cole,33.0,20.0,[1998],
Paula Cole,1997-10-01,1997,4.0,billboard-200,86,This Fire,Paula Cole,33.0,33.0,[1998],
Paula Cole,1998-01-01,1998,1.0,billboard-200,116,This Fire,Paula Cole,33.0,46.0,[1998],
Paula Cole,1998-04-01,1998,2.0,billboard-200,41,This Fire,Paula Cole,20.0,59.0,[1998],
Paula Cole,1998-07-01,1998,3.0,billboard-200,153,This Fire,Paula Cole,20.0,72.0,[1998],
Christopher Cross,1980-04-01,1980,2.0,hot-100,7,Ride Like The Wind,Christopher Cross,7.0,8.0,[1981],
Christopher Cross,1980-07-01,1980,3.0,hot-100,34,Sailing,Christopher Cross,34.0,4.0,[1981],
Christopher Cross,1980-07-01,1980,3.0,hot-100,96,Ride Like The Wind,Christopher Cross,2.0,21.0,[1981],
Christopher Cross,1980-10-01,1980,4.0,hot-100,62,Sailing,Christopher Cross,1.0,17.0,[1981],
Christopher Cross,1981-01-01,1981,1.0,hot-100,31,Never Be The Same,Christopher Cross,15.0,13.0,[1981],
Christopher Cross,1981-04-01,1981,2.0,hot-100,64,Say You'll Be Mine,Christopher Cross,64.0,2.0,[1981],
Christopher Cross,1981-10-01,1981,4.0,hot-100,2,Arthur's Theme (Best That You Can Do),Christopher Cross,2.0,8.0,[1981],
Christopher Cross,1982-01-01,1982,1.0,hot-100,45,Arthur's Theme (Best That You Can Do),Christopher Cross,1.0,21.0,[1981],
Christopher Cross,1983-04-01,1983,2.0,hot-100,19,All Right,Christopher Cross,12.0,11.0,[1981],
Christopher Cross,1983-07-01,1983,3.0,hot-100,97,No Time For Talk,Christopher Cross,33.0,9.0,[1981],
Christopher Cross,1984-01-01,1984,1.0,hot-100,30,Think Of Laura,Christopher Cross,30.0,5.0,[1981],
Christopher Cross,1984-07-01,1984,3.0,hot-100,76,A Chance For Heaven,Christopher Cross,76.0,4.0,[1981],
Christopher Cross,1980-04-01,1980,2.0,billboard-200,25,Christopher Cross,Christopher Cross,25.0,8.0,[1981],
