artist,chart_date,year,chart_name,rank,title,chart_artist,peak_position,weeks_on_chart,grammy_years
Tom Jones,1965-07-01,1965,hot-100,26,What's New Pussycat?,Tom Jones,26,3,[1966]
Tom Jones,1965-07-01,1965,hot-100,46,Little Lonely One,Tom Jones,46,6,[1966]
Tom Jones,1966-07-01,1966,hot-100,70,Not Responsible,Tom Jones,70,3,[1966]
Tom Jones,1969-07-01,1969,hot-100,15,Love Me Tonight,Tom Jones,15,7,[1966]
Robert Goulet,1965-07-01,1965,hot-100,64,Summer Sounds,Robert Goulet,64,5,[1963]
The Beatles,1964-07-01,1964,billboard-200,4,The Beatles' Second Album,The Beatles,1,11,"[1965, 1968]"
The Beatles,1964-07-01,1964,billboard-200,14,Meet The Beatles!,The Beatles,1,23,"[1965, 1968]"
The Beatles,1964-07-01,1964,billboard-200,17,Introducing...The Beatles,The Beatles,2,22,"[1965, 1968]"
The Beatles,1964-07-01,1964,billboard-200,29,The American Tour With Ed Rudy,The Beatles,29,5,"[1965, 1968]"
The Beatles,1965-07-01,1965,billboard-200,29,Beatles '65,The Beatles,1,27,"[1965, 1968]"
The Beatles,1965-07-01,1965,billboard-200,48,Beatles VI,The Beatles,48,2,"[1965, 1968]"
The Beatles,1965-07-01,1965,billboard-200,55,Early Beatles,The Beatles,43,11,"[1965, 1968]"
The Beatles,1965-07-01,1965,billboard-200,134,A Hard Day's Night (Soundtrack),The Beatles,1,51,"[1965, 1968]"
The Beatles,1966-07-01,1966,billboard-200,24,Rubber Soul,The Beatles,1,28,"[1965, 1968]"
The Beatles,1967-07-01,1967,billboard-200,1,Sgt. Pepper's Lonely Hearts Club Band,The Beatles,1,2,"[1965, 1968]"
The Beatles,1967-07-01,1967,billboard-200,135,Revolver,The Beatles,1,44,"[1965, 1968]"
The Beatles,1968-07-01,1968,billboard-200,31,Sgt. Pepper's Lonely Hearts Club Band,The Beatles,1,55,"[1965, 1968]"
The Beatles,1968-07-01,1968,billboard-200,33,Magical Mystery Tour (Soundtrack),The Beatles,1,29,"[1965, 1968]"
The Beatles,1968-07-01,1968,billboard-200,138,"The Good, The Bad And The Ugly And Other Motion Picture Themes",L,138,6,"[1965, 1968]"
The Beatles,1969-07-01,1969,billboard-200,58,The Beatles [White Album],The Beatles,1,30,"[1965, 1968]"
The Beatles,1969-07-01,1969,billboard-200,107,Yellow Submarine,The Beatles,2,22,"[1965, 1968]"
The Beatles,1970-07-01,1970,billboard-200,1,Let It Be (Soundtrack),The Beatles,1,6,"[1965, 1968]"
The Beatles,1970-07-01,1970,billboard-200,32,Hey Jude,The Beatles,2,16,"[1965, 1968]"
The Beatles,1970-07-01,1970,billboard-200,53,Abbey Road,The Beatles,1,38,"[1965, 1968]"
Bobby Darin,1959-07-01,1959,hot-100,4,Dream Lover,Bobby Darin,2,12,[1960]
Bobby Darin,1960-07-01,1960,hot-100,19,Won't You Come Home Bill Bailey,Bobby Darin,19,7,[1960]
Bobby Darin,1962-07-01,1962,hot-100,88,Things,Bobby Darin,88,1,[1960]
Bobby Darin,1963-07-01,1963,hot-100,26,18 Yellow Roses,Bobby Darin,10,9,[1960]
